team,player_name,position
Brighton & Hove Albion FC,Yasin Ayari,Midfield
Brighton & Hove Albion FC,Carlos Baleba,Midfield
Brighton & Hove Albion FC,Diego Gómez,Midfield
Brighton & Hove Albion FC,Facundo Buonanotte,Midfield
Brighton & Hove Albion FC,Jack Hinshelwood,Midfield
Brighton & Hove Albion FC,Malick Yalcouyé,Midfield
Brighton & Hove Albion FC,Danny Welbeck,Offence
Brighton & Hove Albion FC,Georginio Rutter,Offence
Brighton & Hove Albion FC,Evan Ferguson,Offence
Brighton & Hove Albion FC,Kaoru Mitoma,Offence
Brighton & Hove Albion FC,Yankubah Minteh,Offence
Brighton & Hove Albion FC,Tom Watson,Offence
Brighton & Hove Albion FC,Amario Cozier-Duberry,Offence
Brighton & Hove Albion FC,Ibrahim Osman,Offence
Brighton & Hove Albion FC,Stefanos Tzimas,Offence
Brighton & Hove Albion FC,Promise Akinpelu,Offence
Brighton & Hove Albion FC,Charalampos Kostoulas,Offence
Brighton & Hove Albion FC,Zadok Yohanna,Offence
Brighton & Hove Albion FC,Rodrigo Rêgo,Offence
Brentford FC,Ellery Balcombe,Goalkeeper
Brentford FC,Caoimhin Kelleher,Goalkeeper
Brentford FC,Hákon Rafn Valdimarsson,Goalkeeper
Brentford FC,Matthew Cox,Goalkeeper
Brentford FC,Julian Eyestone,Goalkeeper
Brentford FC,Ethan Pinnock,Defence
Brentford FC,Rico Henry,Defence
Brentford FC,Sepp van den Berg,Defence
Brentford FC,Kristoffer Ajer,Defence
Brentford FC,Aaron Hickey,Defence
Brentford FC,Nathan Collins,Defence
Brentford FC,Michael Kayode,Defence
Brentford FC,Jayden Meghoma,Defence
Brentford FC,Ji-soo Kim,Defence
Brentford FC,Jannik Schuster,Defence
Brentford FC,Benjamin Fredrick,Defence
Brentford FC,Benjamin Arthur,Defence
Brentford FC,Jordan Henderson,Midfield
Brentford FC,Josh Dasilva,Midfield
Brentford FC,Vitaly Janelt,Midfield
Brentford FC,Mathias Jensen,Midfield
Brentford FC,Mikkel Damsgaard,Midfield
Brentford FC,Keane Lewis-Potter,Midfield
Brentford FC,Mamadou Sangare,Midfield
Brentford FC,Fabio Carvalho,Midfield
Brentford FC,Antoni Milambo,Midfield
Brentford FC,Yegor Yarmolyuk,Midfield
Brentford FC,Yunus Konak,Midfield
Brentford FC,Callum Wilson,Offence
Brentford FC,Kevin Schade,Offence
Brentford FC,Thiago,Offence
Brentford FC,Jaidon Anthony,Offence
Brentford FC,Dango Ouattara,Offence
Brentford FC,Gustavo Gomes,Offence
Brentford FC,Kaye Furo,Offence
AFC Bournemouth,Fraser Forster,Goalkeeper
AFC Bournemouth,Đorđe Petrović,Goalkeeper
AFC Bournemouth,Will Dennis,Goalkeeper
AFC Bournemouth,Adam Smith,Defence
AFC Bournemouth,Max Aarons,Defence
AFC Bournemouth,James Hill,Defence
AFC Bournemouth,Bafodé Diakité,Defence
AFC Bournemouth,Julian Araujo,Defence
AFC Bournemouth,Adrien Truffert,Defence
AFC Bournemouth,Juanlu,Defence
